"Net_demand","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9"
40596.9791666667,40518.1810773911,41644.4475190831,41368.6912057179,41023.1904183393,40897.7175279127,40636.0791723427,41102.9234874329,40062.254082319,41041.8625831001
35496.3333333333,36154.9099830506,36013.4303885561,36073.2765560003,35619.6955512695,36123.2584018571,36152.8905410017,35798.8065879238,35592.6177244144,36237.6886501387
32913.1875,33247.2508174595,33818.876590346,34059.7037267673,33742.9589342759,34070.5124868127,33484.3353653472,33655.9054940092,33523.5877483733,33885.3997670393
38491.2083333333,40031.9476770141,40045.6703190904,39682.9619806916,40173.974418322,39662.7504508289,39612.2399331475,39855.5635098286,39731.3221846371,39454.0743567063
39991.2291666667,41217.116609198,41396.0561057196,41748.8873604274,41023.6761197003,40866.3191803641,40096.3603231927,41231.0319362321,40633.7749865049,40868.7954368827
40000.8541666667,40700.6884525595,41003.3861864199,40615.2021576269,40145.6822805619,40266.8347890344,40726.6155463527,40446.1730704131,40043.7260791041,40050.7000290221
36224.75,38850.2554206983,38979.4508523764,38532.5018154146,39060.0086640775,38349.7789615422,39092.4957392551,38036.2505347814,38889.2365339368,38499.1913655421
33317.8958333333,34575.663991094,35190.6179844076,34862.7744412346,35534.1547325398,34794.1116688886,33941.8021864365,34111.7517508111,33715.8044232454,34757.1183441398
32888.2083333333,34429.7634873051,34525.4211663262,34640.8890735755,34477.4137792668,33770.2453572954,35194.7707660497,33818.0627553711,35046.1203871763,33769.2329647717
33371.3125,33123.318103238,33825.2289090606,33720.832229606,33702.491151614,34203.2453673724,34640.0641959788,33710.9252893333,33506.0635600318,33909.2321076915
38807.9791666667,39284.8924950846,39766.529973618,39353.6365755275,39723.915433609,39850.8089878541,40506.3387874194,39335.6159850508,39843.9263526078,39987.5870048079
41194.3541666667,40307.6722588882,40668.1903465867,41282.1593130976,40578.6582537048,40811.9961938815,40524.2190128546,40470.2228526121,40003.7175392304,40744.4328927819
40933.4583333333,41537.6231619422,42323.7834245645,40875.3822254122,41115.9965342365,41897.0851903223,41985.2559986694,41730.5767741367,40754.0971296756,41337.798020038
40659.5625,40610.8624200272,41178.6678515293,40449.5541340678,41036.1457880647,40527.9575280503,41087.9021647161,40880.7887217352,40874.7597471576,40917.1613911085
37828.6875,37775.9799311068,37616.7714399934,37688.0203024708,38357.036332836,37494.9288769975,37198.4351914767,38048.2274080154,37153.4913686792,37801.3647606446
31297.7916666667,33050.2879043648,33789.0396749963,32622.2702109964,32189.8478312359,32753.4969984764,32609.2642893078,33374.2020060216,32418.9914524031,32098.1562096716
30686.4583333333,30965.2490961767,31163.5654499174,30983.8416734126,30609.9806852902,31399.8215882031,31259.2535450643,31616.8593688797,31395.1838911682,31572.9386916256
37698.5416666667,37365.1621117098,38513.1658940629,38129.6673081135,38824.6884716691,38241.9801392944,38073.88887233,37755.8060989355,38078.2696878773,38361.1270558163
39634.0833333333,40882.0342556983,40559.9053728309,40468.601242567,40943.0719721716,40469.3152527133,40316.3732835049,40503.9601845276,40396.0852711297,40830.988870028
39512.4375,40698.7271749618,41146.345905218,40239.8471241249,40138.4076786062,39902.2470915823,40555.9614870514,40901.1837204881,40452.910585669,40773.3532058333
40840.7708333333,41798.5026179693,41794.8195476851,39982.968491577,41148.8994920086,42219.3066610907,41608.955761386,41139.4660002902,41613.2812151868,41673.8556833667
42086.625,42460.9062260422,42213.0290028701,42111.6060277212,42378.8618603945,41859.4156718835,41458.7544681676,42046.1438322961,41394.1690769,42528.5871910994
36698.625,38223.2062018988,37830.2867725838,37926.3379786373,38334.2661814247,37201.5282158947,38128.8201829377,37646.9804717746,37080.9999298945,37855.7527458986
33634.9166666667,35712.6821162813,35304.0706338379,35167.4603641164,35530.5354301185,35473.5332345393,35065.1642206821,35069.2088581604,35304.1505526264,35552.7471688319
35443.3541666667,36193.5603592876,36351.8710184927,37311.1623081645,37860.0889320373,36947.936728222,37603.0058396504,37716.3476377035,37335.0878050326,38358.1579603268
36628.8125,37568.7904691696,37828.0103232278,38930.6964837038,38690.9621953239,36751.0743891999,37252.518392168,37257.1610194675,36300.208159103,38594.4414610694
40641.0625,41045.7802208385,41739.5153467314,40010.8812675174,40917.4164355002,40026.7326970032,40653.6808429029,41237.5234272466,39770.9712764933,41354.6978638992
42883.4583333333,44511.5729650157,45857.3872125078,44477.2120232503,44851.5328534029,44568.9273028582,44364.5421466205,44835.4321364623,45270.1419696066,44815.0557380801
40091.8541666667,42103.6684201481,42700.3660435973,42263.4423725689,42765.7880597567,42090.2298725065,42160.9950605611,42312.100796318,42078.8108287513,42786.5088301642
